starttime	seconds	ctime	dtime	ttime	wait
Thu May 12 00:57:17 2022	1652288237	0	54	54	41
Thu May 12 00:57:17 2022	1652288237	0	62	62	43
Thu May 12 00:57:17 2022	1652288237	0	63	63	58
Thu May 12 00:57:16 2022	1652288236	0	67	67	62
Thu May 12 00:57:16 2022	1652288236	0	67	67	56
Thu May 12 00:57:16 2022	1652288236	1	67	68	61
Thu May 12 00:57:16 2022	1652288236	0	69	69	64
Thu May 12 00:57:16 2022	1652288236	0	69	69	64
Thu May 12 00:57:16 2022	1652288236	1	70	71	64
Thu May 12 00:57:16 2022	1652288236	1	71	72	64
Thu May 12 00:57:17 2022	1652288237	0	77	77	72
Thu May 12 00:57:16 2022	1652288236	1	76	77	71
Thu May 12 00:57:17 2022	1652288237	0	78	78	55
Thu May 12 00:57:12 2022	1652288232	0	80	80	37
Thu May 12 00:57:17 2022	1652288237	0	81	81	77
Thu May 12 00:57:16 2022	1652288236	0	84	84	79
Thu May 12 00:57:23 2022	1652288243	0	84	84	64
Thu May 12 00:57:16 2022	1652288236	0	86	86	80
Thu May 12 00:57:16 2022	1652288236	0	86	86	52
Thu May 12 00:57:23 2022	1652288243	1	86	87	71
Thu May 12 00:57:17 2022	1652288237	0	87	87	64
Thu May 12 00:57:16 2022	1652288236	1	87	88	47
Thu May 12 00:57:16 2022	1652288236	1	87	88	67
Thu May 12 00:57:23 2022	1652288243	1	95	96	91
Thu May 12 00:57:16 2022	1652288236	0	99	99	89
Thu May 12 00:57:16 2022	1652288236	0	102	102	93
Thu May 12 00:57:16 2022	1652288236	1	101	102	72
Thu May 12 00:57:17 2022	1652288237	0	105	105	75
Thu May 12 00:57:16 2022	1652288236	0	110	110	72
Thu May 12 00:57:17 2022	1652288237	0	111	111	81
Thu May 12 00:57:17 2022	1652288237	1	113	114	103
Thu May 12 00:57:16 2022	1652288236	0	115	115	110
Thu May 12 00:57:23 2022	1652288243	0	116	116	105
Thu May 12 00:57:23 2022	1652288243	0	116	116	90
Thu May 12 00:57:16 2022	1652288236	0	123	123	76
Thu May 12 00:57:23 2022	1652288243	0	130	130	102
Thu May 12 00:57:15 2022	1652288235	0	136	136	112
Thu May 12 00:57:15 2022	1652288235	0	138	138	113
Thu May 12 00:57:21 2022	1652288241	0	138	139	129
Thu May 12 00:57:21 2022	1652288241	0	145	145	138
Thu May 12 00:57:23 2022	1652288243	0	147	147	118
Thu May 12 00:57:15 2022	1652288235	0	150	150	88
Thu May 12 00:57:15 2022	1652288235	1	150	150	103
Thu May 12 00:57:24 2022	1652288244	1	153	154	126
Thu May 12 00:57:21 2022	1652288241	0	160	160	150
Thu May 12 00:57:21 2022	1652288241	1	162	163	154
Thu May 12 00:57:20 2022	1652288240	0	164	164	159
Thu May 12 00:57:22 2022	1652288242	0	165	165	143
Thu May 12 00:57:21 2022	1652288241	1	170	170	158
Thu May 12 00:57:21 2022	1652288241	0	171	171	164
Thu May 12 00:57:15 2022	1652288235	1	171	172	77
Thu May 12 00:57:12 2022	1652288232	1	172	172	146
Thu May 12 00:57:15 2022	1652288235	0	178	178	171
Thu May 12 00:57:13 2022	1652288233	0	179	179	134
Thu May 12 00:57:12 2022	1652288232	0	182	182	153
Thu May 12 00:57:20 2022	1652288240	1	183	184	177
Thu May 12 00:57:12 2022	1652288232	0	189	189	183
Thu May 12 00:57:20 2022	1652288240	0	192	192	188
Thu May 12 00:57:20 2022	1652288240	0	193	193	185
Thu May 12 00:57:20 2022	1652288240	1	192	193	172
Thu May 12 00:57:24 2022	1652288244	1	196	197	153
Thu May 12 00:57:24 2022	1652288244	0	197	197	167
Thu May 12 00:57:20 2022	1652288240	0	199	199	191
Thu May 12 00:57:24 2022	1652288244	0	201	201	193
Thu May 12 00:57:20 2022	1652288240	1	201	202	191
Thu May 12 00:57:24 2022	1652288244	0	204	204	179
Thu May 12 00:57:24 2022	1652288244	0	205	205	187
Thu May 12 00:57:24 2022	1652288244	0	209	209	194
Thu May 12 00:57:20 2022	1652288240	1	209	209	203
Thu May 12 00:57:21 2022	1652288241	0	211	211	203
Thu May 12 00:57:19 2022	1652288239	0	211	211	164
Thu May 12 00:57:24 2022	1652288244	0	212	212	190
Thu May 12 00:57:24 2022	1652288244	0	212	212	200
Thu May 12 00:57:17 2022	1652288237	0	213	213	209
Thu May 12 00:57:24 2022	1652288244	1	214	215	208
Thu May 12 00:57:24 2022	1652288244	0	216	216	201
Thu May 12 00:57:24 2022	1652288244	0	216	216	209
Thu May 12 00:57:24 2022	1652288244	0	218	218	210
Thu May 12 00:57:21 2022	1652288241	0	219	219	129
Thu May 12 00:57:20 2022	1652288240	0	219	219	210
Thu May 12 00:57:24 2022	1652288244	1	221	222	205
Thu May 12 00:57:12 2022	1652288232	1	223	223	196
Thu May 12 00:57:14 2022	1652288234	0	224	224	181
Thu May 12 00:57:12 2022	1652288232	1	225	225	207
Thu May 12 00:57:24 2022	1652288244	0	227	227	222
Thu May 12 00:57:12 2022	1652288232	1	226	227	204
Thu May 12 00:57:23 2022	1652288243	0	231	231	158
Thu May 12 00:57:24 2022	1652288244	1	230	231	221
Thu May 12 00:57:14 2022	1652288234	0	233	233	145
Thu May 12 00:57:24 2022	1652288244	0	234	234	228
Thu May 12 00:57:21 2022	1652288241	0	235	235	172
Thu May 12 00:57:23 2022	1652288243	0	236	236	194
Thu May 12 00:57:23 2022	1652288243	0	239	239	180
Thu May 12 00:57:15 2022	1652288235	0	243	243	233
Thu May 12 00:57:14 2022	1652288234	0	244	244	191
Thu May 12 00:57:20 2022	1652288240	0	247	247	242
Thu May 12 00:57:24 2022	1652288244	0	249	249	229
Thu May 12 00:57:15 2022	1652288235	0	250	250	243
Thu May 12 00:57:17 2022	1652288237	0	250	250	223
Thu May 12 00:57:21 2022	1652288241	1	250	250	83
Thu May 12 00:57:15 2022	1652288235	1	251	252	235
Thu May 12 00:57:20 2022	1652288240	1	251	252	244
Thu May 12 00:57:12 2022	1652288232	0	256	256	217
Thu May 12 00:57:20 2022	1652288240	0	257	257	249
Thu May 12 00:57:24 2022	1652288244	0	258	258	239
